,Date,CUSIP,Ticker,MktValue,Shares,Russell1000,Russell2000,Name,R1000_WT,R2000_WT
94385,19980930,374450104,GCHI,195388.75,9332,N,Y,GIANT CEM HLDG INC,,0.000261
38042,19970131,974280109,WIN,,89490,Y,N,WINN-DIXIE STORES IN,0.0419,
202324,20011030,870756103,SWFT,1000589.59,57871,N,Y,SWIFT TRANSN CO,,0.001433
289609,20040430,619903107,MWRK,100719.5,4111,N,Y,MOTHERS WORK INC,,0.000113
195072,20010831,410768105,HC,1778783.94,70419,Y,N,HANOVER COMPRESSOR C,0.000169,
280262,20040130,401829106,GLFD,192306.99,22651,N,Y,GUILFORD PHARMACEUTICAL,,0.000209
259387,20030630,353514102,FELE,370517.7,6658,N,Y,FRANKLIN ELECTRIC CO,,0.00052
47049,19970530,055607105,BMC,,28458,N,Y,BMC INDUSTRIES INC/M,,0.1298
41169,19970331,032165102,ASO,,56623,Y,N,AMSOUTH BANCORPORATI,0.0439,
386078,20061229,954235107,WMAR,247496.37,14331,N,Y,WEST MARINE INC,,0.000181
332654,20050729,001055102,AFL,22626534.7,501697,Y,N,AFLAC INC,0.001806,
185919,20010531,26873Q101,MED,44722.2,39230,N,Y,E MEDSOFT COM,,5e-05
284629,20040227,887389104,TKR,1037038.38,47181,Y,N,TIMKEN CO,9.3e-05,
103887,19981231,674098108,OH,714936.38,47074,N,Y,OAKWOOD HOMES,,0.000836
122300,19990730,034551101,ADRX,1117864.81,16669,Y,N,ANDRX CORP,0.0001,
291789,20040528,337907109,FED,700897.75,16975,N,Y,FIRSTFED FINANCIAL CORP,,0.000777
183357,20010430,365558105,GDI,254353.4,13111,N,Y,GARDNER DENVER INC,,0.000293
208642,20020131,00846X105,AGIL,446060.07,30573,N,Y,AGILE SOFTWARE CORP,,0.000559
192599,20010731,589433101,MDP,1382286.32,38536,Y,N,MEREDITH CORP,0.000123,
193592,20010731,896263100,TRMS,696764.2,17380,N,Y,TRIMERIS INC,,0.000863
382896,20061130,893521104,TRH,1660487.92,26834,Y,N,TRANSATLANTIC HLDGS INC,0.000118,
187839,20010531,962166104,WY,12309589.65,215165,Y,N,WEYERHAEUSER CO,0.001087,
14312,19960531,92931B106,WPS,,23897,N,Y,WPS RESOURCES CORP,,0.1179
286346,20040331,466189107,JILL,352677.24,17187,N,Y,J JILL GROUP INC,,0.000375
4813,19960229,68382J103,ODSI,,8266,N,Y,OPTICAL DATA SYSTEMS,,0.0403
81794,19980529,05945F103,BANF,151145.0,3182,N,Y,BANCFIRST CORP/OK,,0.000166
289153,20040430,451107106,IDA,1132511.4,38196,N,Y,IDACORP INC,,0.00127
319110,20050228,499063105,NITE,1213548.28,116018,N,Y,KNIGHT TRADING GROUP INC,,0.001097
378400,20061031,367626108,GTW,475844.88,283241,N,Y,GATEWAY INC,,0.000356
44754,19970430,284434107,ELCO,,6562,N,Y,ELCOM INTERNATIONAL,,0.005
23303,19960830,957907108,WES,,9356,N,Y,WESTCORP,,0.031
314241,20041231,880345103,TNC,301062.45,7593,N,Y,TENNANT CO,,0.000263
36377,19970131,421959107,HPS,,8710,N,Y,HEALTHPLAN SERVICES,,0.0278
223532,20020628,193921103,CLTX,90877.95,7695,N,Y,COLLATERAL THERAPEUTICS,,0.000125
21834,19960830,465917102,JDN,,11012,N,Y,JDN REALTY CORP,,0.0406
254367,20030430,671040103,OSIP,761901.0,36281,N,Y,OSI PHARMACEUTICALS,,0.001222
357825,20060331,442120101,THX,1510698.2,28666,N,Y,HOUSTON EXPLORATION CO,,0.001103
44604,19970430,225310101,CACC,,21170,N,Y,CREDIT ACCEP CORP MI,,0.0351
308773,20041130,032165102,ASO,9133816.57,352249,Y,N,AMSOUTH BANCORP,0.000786,
292398,20040528,577223100,MTSN,325694.98,30553,N,Y,MATTSON TECHNOLOGY INC,,0.000361
269509,20030930,758940100,RF,7607130.5,222106,Y,N,REGIONS FINANCIAL CORP,0.000791,
68040,19971231,225310101,CACC,169399.5,21858,N,Y,CREDIT ACCEP CORP MI,,0.0194
197388,20010928,161048103,CHIC,269633.43,20757,N,Y,CHARLOTTE RUSSE HLDG,,0.000402
187603,20010531,893934109,TMG,156735.36,27211,N,Y,TRANSMONTAIGNE INC,,0.000176
219224,20020430,729132100,PLXS,1044881.88,41812,N,Y,PLEXUS CORP,,0.001232
127927,19990831,943526103,WAVX,352857.5,36424,N,Y,WAVE SYSTEMS CORP,,0.000421
264846,20030829,165159104,CSK,340316.2,14299,N,Y,CHESAPEAKE CORP,,0.000431
46717,19970430,962901302,WTI,,70912,Y,N,WHEELABRATOR TECHNOL,0.0137,
340333,20050930,579064106,MFE,5113290.8,162740,Y,N,MCAFEE INC,0.00041,
185051,20010430,948774104,WS,26163.0,32300,N,Y,WEIRTON STL CORP,,3e-05
285634,20040331,220873103,CORS,622883.4,15460,N,Y,CORUS BANKSHARES INC,,0.000662
384812,20061229,55027E102,LMNX,406107.9,31977,N,Y,LUMINEX CORP,,0.000298
154735,20000630,458665106,IFSIA,176408.19,46271,N,Y,INTERFACE INC,,0.000183
31606,19961129,811905108,SFLD,,4725,N,Y,SEAFIELD CAPITAL COR,,0.0238
9234,19960430,156782104,CERN,,23565,Y,N,CERNER CORP,0.0091,
158190,20000731,640933107,NTBK,254007.0,24336,N,Y,NETBANK INC,,0.000273
141691,20000131,772739207,RKT,136937.62,12309,N,Y,ROCK-TENN CO,,0.000148
247015,20030228,09057G602,BRLI,38847.96,7316,N,Y,BIO-REFERENCE LABS INC,,6.9e-05
268907,20030930,563571108,MTW,572897.97,26413,N,Y,MANITOWOC CO INC,,0.00074
27140,19961031,249555103,DEPS,,19097,N,Y,DEPOSIT GUARANTY COR,,0.147
274433,20031128,42822Q100,HEW,527060.05,17435,Y,N,HEWITT ASSOCIATES INC,5.1e-05,
14257,19960531,918204108,VFC,,52657,Y,N,VF CORP,0.0585,
252978,20030430,131347106,CPN,1895465.01,352973,Y,N,CALPINE CORP,0.000217,
9813,19960430,375048105,GIDL,,34588,N,Y,GIDDINGS & LEWIS INC,,0.1064
111068,19990331,12489L108,CBG,222898.5,13509,N,Y,CB RICHARD ELLIS,,0.000279
321305,20050331,217204106,CPRT,1556514.96,66066,Y,N,COPART INC,0.000133,
132915,19991029,700658107,PRK,801900.0,8100,N,Y,PARK NATL CORP,,0.000973
129428,19990930,466210101,JLG,669768.75,44100,N,Y,JLG INDS INC,,0.000804
198966,20010928,741113104,PRST,189918.4,30632,N,Y,PRESSTEK INC,,0.000283
267998,20030930,229899109,CFR,1912281.72,51364,Y,N,CULLEN FROST BANKERS,0.000199,
223185,20020628,054540109,ACLS,1105953.6,97872,N,Y,AXCELIS TECHNOLOGIES,,0.001527
295479,20040630,625453105,MGAM,634346.64,23652,N,Y,MULTIMEDIA GAMES INC,,0.000613
254235,20030430,615369105,MCO,6296243.36,130384,Y,N,MOODYS CORP,0.000721,
141586,20000131,74437C101,PSIX,3634552.12,45503,Y,N,PSINET INC,0.000302,
24510,19960930,373200203,GGC,,36555,Y,N,GEORGIA GULF CORP,0.0191,
3757,19960229,268539103,EISI,,8191,N,Y,EIS INTERNATIONAL IN,,0.0239
322430,20050331,615369105,MCO,10155854.28,125598,Y,N,MOODYS CORP,0.000867,
73718,19980227,216831107,CTB,1698322.5,73640,Y,N,COOPER TIRE & RUBBER,0.000196,
31345,19961129,725701106,PZB,,41574,Y,N,PITTSTON CO-BRINKS G,0.0169,
71033,19980130,26959B101,EAGL,449086.0,24112,N,Y,EAGLE HARDWARE & GAR,,0.0526
281503,20040130,83545G102,SAH,609362.64,27228,N,Y,SONIC AUTOMOTIVE INC,,0.000662
89408,19980731,723686101,PHB,7639999.13,241581,Y,N,PIONEER HI-BRED INTE,0.000807,
305040,20040930,82312B106,SHEN,168078.43,6563,N,Y,SHENANDOAH TELECOMM CO,,0.000167
234903,20021031,007942204,ADVNB,217508.41,22127,N,Y,ADVANTA CORP,,0.000372
368118,20060630,90262T308,UCBH,1562318.78,94457,N,Y,UCBH HOLDINGS INC,,0.001222
119030,19990528,948603105,WNI,47806.5,9106,N,Y,WEIDER NUTRITION INT,,5.4e-05
247245,20030228,17273K109,CIR,141034.4,9932,N,Y,CIRCOR INTL INC,,0.000249
85118,19980630,247918105,DFC,86730.0,4720,N,Y,DELTA FINANCIAL CORP,,8.4e-05
302036,20040831,820280105,SGR,650564.67,63223,N,Y,SHAW GROUP INC,,0.000682
246392,20030131,900423104,TSTN,93781.08,35124,N,Y,TURNSTONE SYSTEMS IN,,0.000161
92998,19980831,90330X109,USCS,439025.81,19351,N,Y,USCS INTL INC,,0.000631
65906,19971128,50540R102,LH,97591.31,47317,N,Y,LABORATORY CP OF AME,,0.0114
198204,20010928,45814T107,INTD,151145.68,46081,N,Y,INTELIDATA TECHNOLOG,,0.000225
93288,19980930,00724F101,ADBE,2330930.63,67198,Y,N,ADOBE SYSTEMS INC,0.000272,
302894,20040930,055384200,BFCF,76032.0,6912,N,Y,BFC FINANCIAL CORP,,7.6e-05
314759,20050131,030710107,AMN,297047.52,8208,N,Y,AMERON INTERNATIONAL INC,,0.000272
117834,19990528,552676108,MDC,435704.75,22061,N,Y,MDC HOLDINGS INC,,0.000495
234255,20020930,81725T100,SXT,919810.03,43531,N,Y,SENSIENT TECHNOLOGIE,,0.001623
23509,19960930,024757106,ABCO,,4204,N,Y,AMERICAN BUILDINGS C,,0.017
380118,20061031,929236107,WDFC,570896.04,16796,N,Y,WD-40 CO,,0.000427
281809,20040130,913247508,UCOMA,1171388.0,123304,Y,N,UNITEDGLOBALCOM,0.000107,
357471,20060331,29476L107,EQR,13410762.64,286616,Y,N,EQUITY RESIDENTIAL,0.001024,
378099,20061031,253868103,DLR,843999.03,25277,N,Y,DIGITAL REALTY TRUST INC,,0.000631
17502,19960731,012046108,ALBK,,12195,N,Y,ALBANK FINL CORP,,0.0511
354105,20060228,15235H107,CPV,297138.94,10997,N,Y,CENTRACORE PROPERTIES,,0.000228
353930,20060228,092113109,BKH,1125080.65,32545,N,Y,BLACK HILLS CORP,,0.000864
374333,20060929,002346104,AVII,182338.53,50231,N,Y,AVI BIOPHARMA INC,,0.000143
128584,19990930,162816102,CKFR,1570193.62,38181,Y,N,CHECKFREE HLDGS CORP,0.000146,
142136,20000131,909214108,UIS,9878221.87,309905,Y,N,UNISYS CORP,0.000821,
187173,20010531,74955W307,RHD,873297.0,30642,N,Y,R H DONNELLEY CORP,,0.000982
154290,20000630,293904108,ENZN,1725372.5,40597,N,Y,ENZON INC,,0.001786
233834,20020930,693149106,PTSI,58747.32,3079,N,Y,P A M TRANSN SVCS INC,,0.000104
65360,19971128,302491303,FMC,2123926.87,29070,Y,N,FMC CORP,0.0268,
247197,20030228,157085101,CERS,91657.2,13479,N,Y,CERUS CORP,,0.000162
199731,20010928,952355105,WSTC,364023.0,18385,Y,N,WEST CORP,3.8e-05,
198258,20010928,46600W106,SYXI,59315.55,9969,N,Y,IXYS CORP,,8.8e-05
33905,19961231,589405109,MERQ,,16614,N,Y,MERCURY INTERACTIVE,,0.0311
287694,20040331,92239N109,VAST,103910.28,26781,N,Y,VASTERA INC,,0.00011
298136,20040730,490057106,KNSY,269377.38,9522,N,Y,KENSEY NASH CORP,,0.000281
124224,19990730,739276103,POWI,620967.0,10776,N,Y,POWER INTEGRATIONS I,,0.000708
225184,20020628,76122Q105,RECN,513781.64,19036,N,Y,RESOURCES CONNECTION,,0.000709
266256,20030829,686588104,OHB,18592.0,1660,N,Y,ORLEANS HOMEBUILDERS INC,,2.4e-05
79138,19980430,12612L108,SUR,583419.25,34831,N,Y,CNA SURETY CORP,,0.00061
221279,20020531,449163302,HYSQ,39547.56,13052,N,Y,HYSEQ INC,,4.9e-05
161039,20000831,594087108,MIKE,1046290.0,29894,N,Y,MICHAELS STORES INC,,0.001048
29067,19961031,911912202,USLD,,15032,N,Y,U S LONG DISTANCE CO,,0.0193
322234,20050331,546347105,LPX,2735282.28,108802,Y,N,LOUISIANA PACIFIC CORP,0.000234,
364985,20060531,871607107,SNPS,2965005.9,145130,Y,N,SYNOPSYS INC,0.000233,
153972,20000630,192446102,CTSH,200352.94,6037,N,Y,COGNIZANT TECHNOLOGY,,0.000207
360649,20060428,379336100,GLBL,1314020.13,82799,N,Y,GLOBAL INDUSTRIES LTD,,0.000964
219742,20020430,888266103,TTN,1546936.2,67670,N,Y,TITAN CORP,,0.001824
92270,19980831,693475105,PNC,12967252.0,301564,Y,N,PNC BANK CORP,0.001613,
373649,20060831,781270103,RTEC,437672.9,24451,N,Y,RUDOLPH TECHNOLOGIES INC,,0.000346
164985,20000929,908906100,UB,1331260.31,57105,Y,N,UNIONBANCAL CORP,0.0001,
318165,20050228,161048103,CHIC,138399.93,11601,N,Y,CHARLOTTE RUSSE HLDG,,0.000125
351108,20060131,148411101,CAS,316273.5,10490,N,Y,CASTLE A M & CO,,0.000241
74377,19980227,460254105,IRF,745527.19,51195,N,Y,INTL RECTIFIER CORP,,0.0819
357175,20060331,197627102,COE,243711.54,13863,N,Y,COLUMBIA EQUITY TRUST,,0.000178
110224,19990226,864159108,RGR,182409.38,19457,N,Y,STURM RUGER & CO INC,,0.00023
249679,20030331,012423109,AMRI,308472.99,20689,N,Y,ALBANY MOLECULAR RES,,0.00054
167532,20001031,81170Q106,SCFS,267271.87,25155,N,Y,SEACOAST FINL SVCS C,,0.000294
70123,19971231,960386100,WAB,369025.62,14401,N,Y,WESTINGHOUSE AIR BRA,,0.0423
332390,20050630,90337L108,USPH,227954.3,11885,N,Y,U S PHYSICAL THERAPY INC,,0.000197
263894,20030731,871206108,SCMR,681668.89,165053,N,Y,SYCAMORE NETWORKS INC,,0.000901
357987,20060331,481130102,JRN,328996.8,26532,N,Y,JOURNAL COMMUNICATIONS,,0.00024
260130,20030630,62944T105,NVR,2272830.0,5530,Y,N,NVR INC,0.000243,
295935,20040630,759148109,RHB,431539.15,16205,N,Y,REHABCARE GROUP INC,,0.000417
202597,20011030,925602104,VICL,260364.0,20028,N,Y,VICAL INC,,0.000373
87761,19980731,125902106,CPY,249850.0,9994,N,Y,CPI CORP,,0.000291
216143,20020328,65440K106,NDN,1035563.4,27010,N,Y,99 CENTS ONLY STORES,,0.001237
368103,20060630,897051207,TRX.B,544158.06,41318,N,Y,TRONOX INC,,0.000426
131005,19991029,00754U101,ARTT,261603.12,23918,N,Y,ADVANCED RADIO TELEC,,0.000317
274617,20031128,472319102,JEF,1322643.52,42284,Y,N,JEFFERIES GROUP INC,0.000129,
236481,20021031,567908108,HZO,73030.0,7303,N,Y,MARINEMAX INC,,0.000125
164788,20000929,868168105,SUP,555675.19,18639,N,Y,SUPERIOR INDS INTL I,,0.00058
9498,19960430,254063100,DDS,,113046,Y,N,DILLARD DEPT STORES,0.0846,
261318,20030731,00130H105,AES,2632572.57,418533,Y,N,AES CORP,0.000276,
30987,19961129,594074106,MIKL,,11987,N,Y,MICHAEL FOODS INC,,0.0201
103408,19981231,462030107,IOM,1953073.69,267087,Y,N,IOMEGA CORP,0.000189,
43528,19970331,881609101,TSO,,26800,N,Y,TESORO PETROLEUM COR,,0.0432
162756,20000929,127097103,COG,539061.37,26457,N,Y,CABOT OIL & GAS CORP,,0.000563
92853,19980831,872469101,TIG,596147.5,43160,N,Y,TIG HOLDINGS INC,,0.000856
222677,20020531,909839102,UCFC,263283.85,31531,N,Y,UNITED CMNTY FINL CO,,0.000324
147358,20000331,824348106,SHW,3123895.12,141193,Y,N,SHERWIN WILLIAMS CO,0.000238,
182241,20010330,939640108,WPO,2176170.0,3765,Y,N,WASHINGTON POST CO,0.000209,
156659,20000731,06423A103,ONE,36657193.81,1152289,Y,N,BANK ONE CORP,0.002833,
290564,20040430,913456109,UVV,1247660.16,24834,N,Y,UNIVERSAL CORP,,0.001399
294373,20040630,221006109,CRVL,179767.35,6341,N,Y,CORVEL CORP,,0.000174
133061,19991029,743866105,PFGI,839084.62,19542,Y,N,PROVIDENT FINL GROUP,7.3e-05,
222606,20020531,893735100,TKTX,1136077.07,30047,N,Y,TRANSKARYOTIC THERAP,,0.0014
334112,20050729,480838101,JOSB,615441.9,13467,N,Y,JOS A BANK CLOTHIERS INC,,0.000503
238047,20021129,043136100,ARTC,259447.32,21839,N,Y,ARTHROCARE CORP,,0.000408
244475,20030131,234264109,DAKT,213344.76,13999,N,Y,DAKTRONICS INC,,0.000366
163213,20000929,294703103,ENN,242952.0,36672,N,Y,EQUITY INNS INC,,0.000254
317446,20050131,92552R406,VVI,614855.57,22141,Y,N,VIAD CORP,5.3e-05,
239785,20021129,69466M103,PNWB,386665.5,15405,N,Y,PACIFIC NORTHWEST BA,,0.000608
267950,20030930,212485106,CVG,2713513.04,147956,Y,N,CONVERGYS CORP,0.000282,
227857,20020731,685564106,ORB,167487.84,43056,N,Y,ORBITAL SCIENCES COR,,0.000273
168846,20001130,23322L106,STXN,970929.69,73625,Y,N,DMC STRATEX NETWORKD,8.2e-05,
45075,19970430,413086109,HAR,,15463,N,Y,HARMAN INTERNATIONAL,,0.0907
219849,20020430,911905107,U,354255.2,68126,Y,N,US AIRWAYS GROUP INC,3.5e-05,
160110,20000831,250837101,DDC,179329.06,7861,N,Y,DETROIT DIESEL CORP,,0.00018
108408,19990226,199789108,COMR,1929673.38,51287,Y,N,COMAIR HOLDINGS INC,0.000187,
275656,20031128,84917U109,TSA,876960.0,20160,N,Y,SPORTS AUTHORITY INC,,0.00101
38876,19970228,250837101,DDC,,8496,N,Y,DETROIT DIESEL CORP,,0.0215
84976,19980630,203349105,CTCO,250219.63,9487,N,Y,COMMONWEALTH TELE EN,,0.000241
41849,19970331,278749106,ECH,,62409,Y,N,ECHLIN INC,0.0341,
358406,20060331,641255104,NURO,222581.04,5716,N,Y,NEUROMETRIX INC,,0.000163
18032,19960731,178778106,CTYS,,5076,N,Y,CITYSCAPE FINANCIAL,,0.028
318229,20050228,191098102,COKE,212388.82,3961,N,Y,COCA COLA BOTTLING,,0.000192
9688,19960430,320867104,FMBI,,12073,N,Y,FIRST MIDWEST BANCOR,,0.058
264228,20030731,957907108,WES,446565.6,13212,N,Y,WESTCORP INC,,0.00059
333339,20050729,205887102,CAG,11761395.45,517895,Y,N,CONAGRA FOODS INC,0.000939,
179324,20010228,91324P102,UNH,19357903.98,326826,Y,N,UNITEDHEALTH GROUP I,0.001731,
325579,20050429,670009109,NOVN,388859.29,23383,N,Y,NOVEN PHARMACEUTICALS,,0.000381
244811,20030131,368682100,GY,239346.8,31084,N,Y,GENCORP INC,,0.000411
306896,20041029,44041F105,HRZB,203996.8,10408,N,Y,HORIZON FINANCIAL CORP,,0.0002
113247,19990331,903192102,UNM,6581841.44,138383,Y,N,UNUM CORP,0.000615,
165012,20000929,91347P105,PANL,283436.94,12847,N,Y,UNIVERSAL DISPLAY CO,,0.000296
84912,19980630,172895104,CAST,218560.0,10928,N,Y,CITATION CORP ALA,,0.00021
358630,20060331,720186105,PNY,1839577.19,76681,Y,N,PIEDMONT NAT GAS INC,0.000141,
342385,20051031,23334L102,DSW,237951.78,11429,N,Y,DSW INC,,0.000204
211630,20020228,03234G106,AMTR,45514.8,3228,N,Y,AMTRAN INC,,5.9e-05
124577,19990730,847788106,TRK,523419.0,13421,Y,N,SPEEDWAY MOTORSPORT,4.7e-05,
240141,20021129,804137107,SHS,90386.7,9719,N,Y,SAUER-DANFOSS INC.,,0.000142
132282,19991029,457667103,INSUA,483393.87,20194,N,Y,INSITUFORM TECHNOLOG,,0.000586
116885,19990528,179584107,CLE,1195008.75,40855,N,Y,CLAIRES STORES INC,,0.001357
257157,20030530,628858102,NCOG,360601.2,18684,N,Y,NCO GROUP INC,,0.000523
285583,20040331,203668108,CYH,1388995.3,49910,Y,N,COMMUNITY HEALTH SYSTEMS,0.000127,
131110,19991029,030789507,AMES,904329.56,28539,N,Y,AMES DEPT STORES INC,,0.001097
203574,20011130,268648102,EMC,37199336.35,2215565,Y,N,E M C CORP MASS,0.003528,
128631,19990930,185896107,CLF,349160.25,11218,N,Y,CLEVELAND CLIFFS INC,,0.000419
148014,20000428,023657208,AWA,472870.12,32333,N,Y,AMERICA WEST HLDG CO,,0.000506
293369,20040528,89579K109,TRI,2651858.56,74996,Y,N,TRIAD HOSPITALS INC,0.000244,
11808,19960531,049560105,ATO,,15956,N,Y,ATMOS ENERGY CORP,,0.0613
108260,19990226,140432105,KRE,370443.0,22116,N,Y,CAPITAL RE CORP,,0.000467
132670,19991029,607059102,MOB,75861359.37,783085,Y,N,MOBIL CORP,0.006599,
95339,19980930,728117300,PLA,238899.75,17218,N,Y,PLAYBOY ENTERPRISES,,0.00032
45019,19970430,383550100,GULD,,21323,N,Y,GOULDS PUMPS INC,,0.1194
58080,19970829,853666105,SMP,148004.12,8194,N,Y,STANDARD MOTOR PRODS,,0.0174
350443,20051230,929251106,WHI,899111.04,109248,N,Y,W HOLDING CO INC,,0.000744
93652,19980930,117043109,BC,1287962.0,99074,Y,N,BRUNSWICK CORP,0.00015,
38109,19970228,00185E106,APAC,,16552,Y,N,APAC TELESERVICES IN,0.0075,
362351,20060428,94767L109,WEBX,1168847.75,33065,N,Y,WEBEX INC,,0.000858
44925,19970430,354596108,FNQ,,16021,N,Y,FRANKLIN QUEST CO,,0.0519
23624,19960930,046265104,ASFC,,19466,N,Y,ASTORIA FINL CORP,,0.086
297208,20040730,158496109,CHB,685313.09,70433,N,Y,CHAMPION ENTERPRISES INC,,0.000714
365090,20060531,892717109,TRFC,33785.64,6867,N,Y,TRAFFIC.COM INC,,2.6e-05
220,19960131,043339100,ARV,,22301,N,Y,ARVIN INDUSTRIES INC,,0.0797
300299,20040831,205638109,CPWR,1741322.94,384398,Y,N,COMPUWARE CORP,0.000159,
319045,20050228,469865109,JJZ,776166.8,75356,N,Y,JACUZZI BRANDS INC,,0.000702
365180,20060531,913016309,USPI,1345258.62,43242,N,Y,UNITED SURGICAL PARTNERS,,0.00105
181831,20010330,83545M109,SNCI,14482.8,3576,N,Y,SONIC INNOVATIONS IN,,1.8e-05
16891,19960628,847706108,SFAM,,4127,N,Y,SPEEDFAM INTERNATION,,0.0102
213359,20020228,68618W100,OFG,215244.35,9851,N,Y,ORIENTAL FINL GROUP,,0.000278
366663,20060630,42725M107,HTG,986769.36,28258,N,Y,HERITAGE PROPERTY INV TR,,0.000772
155582,20000630,749660106,RES,139900.31,13245,N,Y,RPC INC,,0.000145
100996,19981130,675744106,OCLR,208012.5,9245,N,Y,OCULAR SCIENCES INC,,0.000257
324763,20050429,368706107,GNLB,36965.88,88014,N,Y,GENELABS TECHNOLOGIES,,3.6e-05
354828,20060228,42840B101,HITK,189777.28,7702,N,Y,HI-TECH PHARMACAL CO INC,,0.000146
107952,19990226,032511107,APC,2759680.0,100352,Y,N,ANADARKO PETROLEUM C,0.000268,
70327,19980130,026375105,AGREA,2965130.44,68459,Y,N,AMERICAN GREETINGS,0.000366,
383640,20061229,12561E105,CKR,1256370.4,68281,N,Y,CKE RESTAURANTS INC,,0.000921
12248,19960531,210149100,CNS,,53106,Y,N,CONSOLIDATED STORES,0.0367,
131596,19991029,20449H109,CBSS,3032500.62,113630,Y,N,COMPASS BANCSHARES I,0.000264,
259439,20030630,37183F107,GHVI,425453.25,24105,N,Y,GENESIS HEALTH VENTURES,,0.000597
205699,20011231,00437V104,ACDO,1034264.4,26052,N,Y,ACCREDO HEALTH INC,,0.001284
42901,19970331,690732102,OMI,,26479,N,Y,OWENS & MINOR INC,,0.0462
308552,20041029,97186T108,WIBC,196090.18,7046,N,Y,WILSHIRE BANCORP INC,,0.000192
244136,20030131,117665109,BMTC,130235.0,3721,N,Y,BRYN MAWR BK CORP,,0.000224
14259,19960531,918435108,VWRX,,17929,N,Y,VWR SCIENTIFIC PRODU,,0.0485
99768,19981130,205213101,CMSX,34932.81,1975,N,Y,COMPUTER MGMT SCIENC,,4.3e-05
125656,19990831,170038103,CHRX,415211.5,13726,N,Y,CHIREX INC,,0.000495
69472,19971231,759930100,RCGI,728320.0,22760,N,Y,RENAL CARE GROUP INC,,0.0834
30017,19961129,226091106,CF,,43049,Y,N,CRESTAR FINANCIAL CO,0.0477,
222357,20020531,826919102,SLAB,208209.72,8719,N,Y,SILICON LABORATORIES,,0.000256
4665,19960229,628778102,NBTB,,8679,N,Y,N B T BANCORP INC,,0.0246
116626,19990528,077410108,BOG,55252.94,6961,N,Y,BELCO OIL & GAS CORP,,6.3e-05
279753,20040130,20854P109,CNX,545575.8,23618,Y,N,CONSOL ENERGY INC,5e-05,
115574,19990430,74834L100,DGX,683184.75,29866,N,Y,QUEST DIAGNOSTICS IN,,0.000787
367666,20060630,760112102,RTK,642564.9,138186,N,Y,RENTECH INC,,0.000503
41092,19970331,018804104,ATK,,9498,N,Y,ALLIANT TECHSYSTEMS,,0.0614
14972,19960628,153609102,CNH,,17555,N,Y,CENTRAL HUDSON GAS &,,0.0838
123591,19990730,49338N109,KEYS,277664.06,16155,N,Y,KEYSTONE AUTOMOTIVE,,0.000317
293135,20040528,830830105,SKY,242801.34,6067,N,Y,SKYLINE CORP,,0.000269
370507,20060731,72919P103,PLUG,292261.68,72342,N,Y,PLUG POWER INC,,0.000238
379529,20061031,758750103,RBC,1520290.8,30744,N,Y,REGAL BELOIT CORP,,0.001136
35485,19970131,073902108,BSC,,127101,Y,N,BEAR STEARNS COMPANI,0.0585,
102160,19981231,030096101,ASC,10141929.4,274570,Y,N,AMERICAN STORES CO,0.00098,
160278,20000831,300691102,EXLN,206391.94,25599,N,Y,EXCELON CORP,,0.000207
8150,19960329,833482102,SNY,,26301,N,Y,SNYDER OIL CORP,,0.0385
262200,20030731,291525103,EMMS,887663.61,44361,N,Y,EMMIS COMMUNICATIONS,,0.001173
64761,19971128,077852101,BHW,312930.0,13176,N,Y,BELL & HOWELL COMPAN,,0.0364
246707,20030228,00751Y106,AAP,549869.84,14092,Y,N,ADVANCE AUTO PARTS INC,6.8e-05,
154737,20000630,458683109,INGR,332583.62,43978,N,Y,INTERGRAPH CORP,,0.000344
323668,20050429,00686U104,KAR,2294760.16,94864,Y,N,ADESA INC,0.0002,
93136,19980831,93369N109,WANG,896005.5,45949,N,Y,WANG LABS INC,,0.001287
107394,19990129,87162H103,SYNT,63123.06,5233,N,Y,SYNTEL INC,,7.3e-05
194969,20010831,367905106,GET,610561.65,21705,N,Y,GAYLORD ENTMT CO NEW,,0.000784
342281,20051031,201647104,CFB,1307979.0,38245,N,Y,COMMERCIAL FEDERAL CORP,,0.001121
49115,19970530,833482102,SNY,,27431,N,Y,SNYDER OIL CORP,,0.0695
229794,20020830,29270U105,EPL,150437.4,19164,N,Y,ENERGY PARTNERS LTD,,0.000246
126168,19990831,36236E109,GTIS,103003.44,35065,N,Y,GT INTERACTIVE SOFTW,,0.000123
14194,19960531,904761202,UHLD,,1421,N,Y,UNIHOLDING CORP,,0.0035
344437,20051031,92532F100,VRTX,2154789.0,94716,N,Y,VERTEX PHARMACEUTICALS,,0.001847
296122,20040630,832248108,SFD,2495413.2,84878,Y,N,SMITHFIELD FOODS INC,0.000221,
376382,20060929,705324101,PDX,2211600.0,48500,Y,N,PEDIATRIX MEDICAL GROUP,0.000165,
336126,20050831,132011107,CBM,502032.9,26395,N,Y,CAMBREX CORP,,0.000419
128285,19990930,05366B102,AVL,187288.0,18272,N,Y,AVIALL INC NEW,,0.000225
152166,20000531,577767106,MXWL,135322.87,9753,N,Y,MAXWELL TECHNOLOGIES,,0.000153
112991,19990331,841297104,SDW,2066968.75,38500,Y,N,SOUTHDOWN INC,0.000193,
91952,19980831,57772K101,MXIM,3274920.0,119088,Y,N,MAXIM INTEGRATED PRO,0.000407,
114326,19990430,277432100,EMN,4414014.0,79264,Y,N,EASTMAN CHEMICAL CO,0.000396,
